Subject,Predicate,Object
"Client Kickoff Meeting","starts at","Wed Dec 03 09:00:00 PST 2025"
"Monthly Review Meeting","starts at","Tue Dec 02 08:00:00 PST 2025"
"Game Night","starts at","Mon Dec 01 19:00:00 PST 2025"
"Planning Next Day","starts at","Mon Dec 01 18:00:00 PST 2025"
"Family Dinner","starts at","Mon Dec 01 17:00:00 PST 2025"
"Lunch Break","starts at","Mon Dec 01 11:30:00 PST 2025"
"Neural Networks Introduction","starts at","Mon Dec 01 09:00:00 PST 2025"
"Work Session","starts at","Mon Dec 01 08:00:00 PST 2025"
"Breakfast","starts at","Mon Dec 01 07:00:00 PST 2025"
"Morning Walk","starts at","Mon Dec 01 05:30:00 PST 2025"
"Black Friday","starts at","Thu Nov 27 16:00:00 PST 2025"
"Thanksgiving Day","starts at","Wed Nov 26 16:00:00 PST 2025"
"Design Workshop","starts at","Wed Nov 26 08:00:00 PST 2025"
"World History Lecture","starts at","Tue Nov 25 09:30:00 PST 2025"
"Team Sync","starts at","Tue Nov 25 09:00:00 PST 2025"
"Family Game Night","starts at","Sun Nov 23 18:00:00 PST 2025"
"Beach Day with Friends","starts at","Sun Nov 23 08:00:00 PST 2025"
"Retrospective Meeting","starts at","Sat Nov 22 08:00:00 PST 2025"
"Design Review","starts at","Fri Nov 21 08:00:00 PST 2025"
"Inorganic Chemistry Lab","starts at","Thu Nov 20 10:00:00 PST 2025"
"Client Presentation","starts at","Thu Nov 20 09:00:00 PST 2025"
"Product Development Meeting","starts at","Wed Nov 19 08:00:00 PST 2025"
"Project Kickoff","starts at","Tue Nov 18 09:00:00 PST 2025"
"Dinner with Friends","starts at","Sun Nov 16 17:00:00 PST 2025"
"Visit to Aunt's House","starts at","Sun Nov 16 13:00:00 PST 2025"
"Monthly Review Meeting","starts at","Sat Nov 15 08:00:00 PST 2025"
"Big Data Analytics","starts at","Sat Nov 15 08:00:00 PST 2025"
"One-on-One Meeting","starts at","Fri Nov 14 08:00:00 PST 2025"
"Team Sync","starts at","Thu Nov 13 09:00:00 PST 2025"
"Design Review","starts at","Wed Nov 12 08:00:00 PST 2025"
"Diwali","starts at","Tue Nov 11 16:00:00 PST 2025"
"Product Demo","starts at","Tue Nov 11 09:00:00 PST 2025"
"Veterans Day","starts at","Mon Nov 10 16:00:00 PST 2025"
"Quantum Mechanics Workshop","starts at","Sun Nov 09 13:00:00 PST 2025"
"Family Outing","starts at","Sun Nov 09 09:00:00 PST 2025"
"Hiking Trip","starts at","Sun Nov 09 05:00:00 PST 2025"
"Weekly Sync-Up","starts at","Sat Nov 08 08:00:00 PST 2025"
"Marketing Strategy Meeting","starts at","Fri Nov 07 09:00:00 PST 2025"
"Client Feedback Session","starts at","Thu Nov 06 08:00:00 PST 2025"
"Design Workshop","starts at","Wed Nov 05 09:00:00 PST 2025"
"Client Kickoff Meeting","starts at","Tue Nov 04 09:00:00 PST 2025"
"Election Day","starts at","Mon Nov 03 16:00:00 PST 2025"
"Game Night","starts at","Sun Nov 02 19:00:00 PST 2025"
"Family Dinner","starts at","Sun Nov 02 17:00:00 PST 2025"
"AI Ethics Lecture","starts at","Sun Nov 02 09:00:00 PST 2025"
"Family Time","starts at","Sat Nov 01 19:00:00 PDT 2025"
"Daylight Saving Time ends","starts at","Sat Nov 01 17:00:00 PDT 2025"
"Lunch Break","starts at","Sat Nov 01 12:30:00 PDT 2025"
"Monthly Review Meeting","starts at","Sat Nov 01 09:00:00 PDT 2025"
"Work Session","starts at","Sat Nov 01 09:00:00 PDT 2025"
"Breakfast","starts at","Sat Nov 01 08:00:00 PDT 2025"
"Morning Exercise","starts at","Sat Nov 01 06:30:00 PDT 2025"
"Halloween","starts at","Thu Oct 30 17:00:00 PDT 2025"
"Product Demo","starts at","Thu Oct 30 10:00:00 PDT 2025"
"Design Review","starts at","Wed Oct 29 10:00:00 PDT 2025"
"Team Sync","starts at","Tue Oct 28 09:00:00 PDT 2025"
"Family Movie Night","starts at","Sun Oct 26 19:00:00 PDT 2025"
"Beach Day with Friends","starts at","Sun Oct 26 09:00:00 PDT 2025"
"Retrospective Meeting","starts at","Sat Oct 25 09:00:00 PDT 2025"
"Product Launch Meeting","starts at","Fri Oct 24 10:00:00 PDT 2025"
"Dussehra","starts at","Thu Oct 23 17:00:00 PDT 2025"
"Design Workshop","starts at","Thu Oct 23 10:00:00 PDT 2025"
"Client Call","starts at","Wed Oct 22 09:00:00 PDT 2025"
"Project Kickoff","starts at","Tue Oct 21 10:00:00 PDT 2025"
"Art History","starts at","Mon Oct 20 10:30:00 PDT 2025"
"Dinner with Friends","starts at","Sun Oct 19 18:00:00 PDT 2025"
"Visit to Grandparents","starts at","Sun Oct 19 14:00:00 PDT 2025"
"Monthly Review Meeting","starts at","Sat Oct 18 09:00:00 PDT 2025"
"Marketing Strategy Meeting","starts at","Fri Oct 17 10:00:00 PDT 2025"
"Design Review","starts at","Thu Oct 16 09:00:00 PDT 2025"
"Environmental Chemistry","starts at","Wed Oct 15 11:00:00 PDT 2025"
"One-on-One Meeting","starts at","Wed Oct 15 10:00:00 PDT 2025"
"Client Kickoff Meeting","starts at","Tue Oct 14 10:00:00 PDT 2025"
"Columbus Day","starts at","Sun Oct 12 17:00:00 PDT 2025"
"Family Outing","starts at","Sun Oct 12 10:00:00 PDT 2025"
"Hiking Trip","starts at","Sun Oct 12 06:00:00 PDT 2025"
"Retrospective Meeting","starts at","Sat Oct 11 09:00:00 PDT 2025"
"Product Demo","starts at","Fri Oct 10 10:00:00 PDT 2025"
"Programming in Python","starts at","Fri Oct 10 09:00:00 PDT 2025"
"Client Call","starts at","Thu Oct 09 09:00:00 PDT 2025"
"Product Development Meeting","starts at","Wed Oct 08 10:00:00 PDT 2025"
"Weekly Sync-Up","starts at","Tue Oct 07 09:00:00 PDT 2025"
"Game Night","starts at","Sun Oct 05 20:00:00 PDT 2025"
"Family Dinner","starts at","Sun Oct 05 18:00:00 PDT 2025"
"Astrophysics Seminar","starts at","Sun Oct 05 14:00:00 PDT 2025"
"Client Feedback Session","starts at","Sat Oct 04 10:00:00 PDT 2025"
"Design Review","starts at","Fri Oct 03 09:00:00 PDT 2025"
"Client Workshop","starts at","Thu Oct 02 10:00:00 PDT 2025"
"Meditation","starts at","Wed Oct 01 18:30:00 PDT 2025"
"Lunch Break","starts at","Wed Oct 01 12:30:00 PDT 2025"
"Data Science Fundamentals","starts at","Wed Oct 01 10:00:00 PDT 2025"
"Monthly Kickoff Meeting","starts at","Wed Oct 01 09:00:00 PDT 2025"
"Work Session","starts at","Wed Oct 01 09:00:00 PDT 2025"
"Breakfast","starts at","Wed Oct 01 08:00:00 PDT 2025"
"Morning Run","starts at","Wed Oct 01 06:30:00 PDT 2025"
"Modern History Lecture","starts at","Thu Sep 25 10:30:00 PDT 2025"
"Department Meeting","starts at","Thu Sep 25 10:00:00 PDT 2025"
"Monthly Review Meeting","starts at","Sat Sep 20 15:00:00 PDT 2025"
"Organic Chemistry Lab","starts at","Sat Sep 20 11:00:00 PDT 2025"
"Machine Learning Workshop","starts at","Mon Sep 15 09:00:00 PDT 2025"
"Advanced Physics","starts at","Wed Sep 10 14:00:00 PDT 2025"
"Project Kickoff Meeting","starts at","Wed Sep 10 11:00:00 PDT 2025"
"Ganesh Chaturthi","starts at","Sun Sep 07 17:00:00 PDT 2025"
"Client Presentation Preparation","starts at","Thu Sep 04 14:00:00 PDT 2025"
"Introduction to AI","starts at","Tue Sep 02 10:00:00 PDT 2025"
"Weekly Team Standup","starts at","Tue Sep 02 09:00:00 PDT 2025"
"Reading Time","starts at","Mon Sep 01 19:00:00 PDT 2025"
"Family BBQ","starts at","Mon Sep 01 15:00:00 PDT 2025"
"Lunch Break","starts at","Mon Sep 01 12:30:00 PDT 2025"
"Work Session","starts at","Mon Sep 01 09:00:00 PDT 2025"
"Breakfast","starts at","Mon Sep 01 08:00:00 PDT 2025"
"Morning Yoga","starts at","Mon Sep 01 06:30:00 PDT 2025"
"Labor Day","starts at","Sun Aug 31 17:00:00 PDT 2025"
"Family Picnic","starts at","Sun Aug 31 11:00:00 PDT 2025"
"Beach Day with Friends","starts at","Sun Aug 31 09:00:00 PDT 2025"
"Team Building Activity","starts at","Sat Aug 30 11:00:00 PDT 2025"
"Product Launch Meeting","starts at","Fri Aug 29 10:00:00 PDT 2025"
"Design Review","starts at","Thu Aug 28 10:00:00 PDT 2025"
"Client Call","starts at","Wed Aug 27 09:00:00 PDT 2025"
"Project Kickoff","starts at","Tue Aug 26 10:00:00 PDT 2025"
"Family Movie Night","starts at","Sun Aug 24 19:00:00 PDT 2025"
"Dinner with Friends","starts at","Sun Aug 24 18:00:00 PDT 2025"
"Retrospective Meeting","starts at","Sat Aug 23 09:00:00 PDT 2025"
"Client Feedback Session","starts at","Fri Aug 22 10:00:00 PDT 2025"
"Stand-up Meeting","starts at","Thu Aug 21 09:00:00 PDT 2025"
"History Lecture","starts at","Wed Aug 20 10:30:00 PDT 2025"
"One-on-One Meeting","starts at","Wed Aug 20 10:00:00 PDT 2025"
"Weekly Sync-Up","starts at","Tue Aug 19 09:00:00 PDT 2025"
"Raksha Bandhan","starts at","Mon Aug 18 17:00:00 PDT 2025"
"Friends' Game Night","starts at","Sun Aug 17 20:00:00 PDT 2025"
"Visit to Grandparents","starts at","Sun Aug 17 14:00:00 PDT 2025"
"Chemistry Seminar","starts at","Fri Aug 15 11:00:00 PDT 2025"
"Product Launch Meeting","starts at","Fri Aug 15 10:00:00 PDT 2025"
"Design Review","starts at","Thu Aug 14 10:00:00 PDT 2025"
"Client Call","starts at","Wed Aug 13 09:00:00 PDT 2025"
"Project Kickoff","starts at","Tue Aug 12 10:00:00 PDT 2025"
"Family Outing","starts at","Sun Aug 10 10:00:00 PDT 2025"
"Hiking Trip","starts at","Sun Aug 10 06:00:00 PDT 2025"
"Retrospective Meeting","starts at","Sat Aug 09 09:00:00 PDT 2025"
"Client Feedback Session","starts at","Fri Aug 08 10:00:00 PDT 2025"
"Stand-up Meeting","starts at","Thu Aug 07 09:00:00 PDT 2025"
"Computer Science Workshop","starts at","Thu Aug 07 09:00:00 PDT 2025"
"One-on-One Meeting","starts at","Wed Aug 06 10:00:00 PDT 2025"
"Weekly Sync-Up","starts at","Tue Aug 05 09:00:00 PDT 2025"
"Family Dinner","starts at","Sun Aug 03 18:00:00 PDT 2025"
"Catch-up with Friends","starts at","Sun Aug 03 16:00:00 PDT 2025"
"Physics Lab","starts at","Sun Aug 03 14:00:00 PDT 2025"
"Design Review","starts at","Sat Aug 02 10:00:00 PDT 2025"
"Evening Walk","starts at","Fri Aug 01 18:00:00 PDT 2025"
"Lunch Break","starts at","Fri Aug 01 12:30:00 PDT 2025"
"Math Lecture","starts at","Fri Aug 01 10:00:00 PDT 2025"
"Team Meeting","starts at","Fri Aug 01 09:00:00 PDT 2025"
"Work Session","starts at","Fri Aug 01 09:00:00 PDT 2025"
"Breakfast","starts at","Fri Aug 01 08:00:00 PDT 2025"
"Morning Jog","starts at","Fri Aug 01 06:30:00 PDT 2025"
"Independence Day","starts at","Thu Jul 03 17:00:00 PDT 2025"
"Juneteenth","starts at","Wed Jun 18 17:00:00 PDT 2025"
"Father's Day","starts at","Sat Jun 14 17:00:00 PDT 2025"
"Flag Day","starts at","Fri Jun 13 17:00:00 PDT 2025"
"Memorial Day","starts at","Sun May 25 17:00:00 PDT 2025"
"ASU-KIM-LAB weekly seminar","starts at","Wed May 21 11:00:00 PDT 2025"
"Weekly Meeting (test)","starts at","Tue May 20 12:00:00 PDT 2025"
"Weekly Meeting (test)","location","Centerpoint on Mill, 660 S Mill Ave, Tempe, AZ 85281, USA"
"Deeksha busy","starts at","Tue May 20 10:30:00 PDT 2025"
"Deeksha busy","location","Centerpoint on Mill, 660 S Mill Ave, Tempe, AZ 85281, USA"
"Mother's Day","starts at","Sat May 10 17:00:00 PDT 2025"
"Cinco de Mayo","starts at","Sun May 04 17:00:00 PDT 2025"
"Easter Monday","starts at","Sun Apr 20 17:00:00 PDT 2025"
"Easter Sunday","starts at","Sat Apr 19 17:00:00 PDT 2025"
"Tax Day","starts at","Mon Apr 14 17:00:00 PDT 2025"
"St. Patrick's Day","starts at","Sun Mar 16 17:00:00 PDT 2025"
"Daylight Saving Time starts","starts at","Sat Mar 08 16:00:00 PST 2025"
"Presidents' Day","starts at","Sun Feb 16 16:00:00 PST 2025"
"Valentine's Day","starts at","Thu Feb 13 16:00:00 PST 2025"
"Inauguration Day (regional holiday)","starts at","Sun Jan 19 16:00:00 PST 2025"
"Martin Luther King Jr. Day","starts at","Sun Jan 19 16:00:00 PST 2025"
"National Day of Mourning for Jimmy Carter","starts at","Wed Jan 08 16:00:00 PST 2025"
"New Year's Day","starts at","Tue Dec 31 16:00:00 PST 2024"
"New Year's Eve","starts at","Mon Dec 30 16:00:00 PST 2024"
"Christmas Day","starts at","Tue Dec 24 16:00:00 PST 2024"
"Christmas Eve","starts at","Mon Dec 23 16:00:00 PST 2024"
"Black Friday","starts at","Thu Nov 28 16:00:00 PST 2024"
"Thanksgiving Day","starts at","Wed Nov 27 16:00:00 PST 2024"
"Veterans Day","starts at","Sun Nov 10 16:00:00 PST 2024"
"Election Day (General Election)","starts at","Mon Nov 04 16:00:00 PST 2024"
"Daylight Saving Time ends","starts at","Sat Nov 02 17:00:00 PDT 2024"
"Halloween","starts at","Wed Oct 30 17:00:00 PDT 2024"
"Columbus Day","starts at","Sun Oct 13 17:00:00 PDT 2024"
"Labor Day","starts at","Sun Sep 01 17:00:00 PDT 2024"
"Independence Day","starts at","Wed Jul 03 17:00:00 PDT 2024"
"Juneteenth","starts at","Tue Jun 18 17:00:00 PDT 2024"
"Father's Day","starts at","Sat Jun 15 17:00:00 PDT 2024"
"Flag Day","starts at","Thu Jun 13 17:00:00 PDT 2024"
"User","location","660 S Mill Ave #300, Tempe, AZ 85281, USA"
"User","starts at","2025-06-13 10:13:28"
"User","starts at","2025-06-13 10:26:11"
"User","starts at","2025-06-13 10:54:36"
"Independence Day","starts at","Fri Jul 03 17:00:00 PDT 2026"
"Independence Day (substitute)","starts at","Thu Jul 02 17:00:00 PDT 2026"
"Father’s Day","starts at","Sat Jun 20 17:00:00 PDT 2026"
"Juneteenth","starts at","Thu Jun 18 17:00:00 PDT 2026"
"Flag Day","starts at","Sat Jun 13 17:00:00 PDT 2026"
"Father’s Day","starts at","Sat Jun 14 17:00:00 PDT 2025"
"User","starts at","2025-06-20 14:24:20"
"User","starts at","2025-06-20 15:53:12"
"User","location","Broadway Rd & Roosevelt St, Tempe, AZ 85282, USA"
"User","starts at","2025-06-23 20:11:20"
"User","starts at","2025-06-23 20:44:36"
"Father’s Day","starts at","Sat Jun 15 17:00:00 PDT 2024"
"Father’s Day","starts at","Sat Jun 17 17:00:00 PDT 2023"
"Father’s Day","starts at","Sat Jun 18 17:00:00 PDT 2022"
"Father’s Day","starts at","Sat Jun 19 17:00:00 PDT 2021"
"Father’s Day","starts at","Sat Jun 20 17:00:00 PDT 2020"
"User","location","640 S Mill Ave, Tempe, AZ 85281, USA"
"User","starts at","2025-06-26 10:34:50"
