Subject,Predicate,Object
"Family Outing","at","2025-10-12T10:00:00-07:00/2025-10-12T16:00:00-07:00"
"Columbus Day","at","2025-10-12T17:00:00-07:00/2025-10-13T17:00:00-07:00"
"Client Kickoff Meeting","at","2025-10-14T10:00:00-07:00/2025-10-14T11:00:00-07:00"
"Weekly Meeting (test)","at","2025-10-14T12:00:00-07:00/2025-10-14T13:00:00-07:00"
"One-on-One Meeting","at","2025-10-15T10:00:00-07:00/2025-10-15T11:00:00-07:00"
"Environmental Chemistry","at","2025-10-15T11:00:00-07:00/2025-10-15T13:00:00-07:00"
"ASU-KIM-LAB weekly seminar","at","2025-10-15T11:00:00-07:00/2025-10-15T12:00:00-07:00"
"Design Review","at","2025-10-16T09:00:00-07:00/2025-10-16T10:00:00-07:00"
"Marketing Strategy Meeting","at","2025-10-17T10:00:00-07:00/2025-10-17T11:00:00-07:00"
"Monthly Review Meeting","at","2025-10-18T09:00:00-07:00/2025-10-18T10:00:00-07:00"
"Visit to Grandparents","at","2025-10-19T14:00:00-07:00/2025-10-19T18:00:00-07:00"
"Dinner with Friends","at","2025-10-19T18:00:00-07:00/2025-10-19T20:00:00-07:00"
"Art History","at","2025-10-20T10:30:00-07:00/2025-10-20T12:00:00-07:00"
"Project Kickoff","at","2025-10-21T10:00:00-07:00/2025-10-21T11:00:00-07:00"
"Weekly Meeting (test)","at","2025-10-21T12:00:00-07:00/2025-10-21T13:00:00-07:00"
"Client Call","at","2025-10-22T09:00:00-07:00/2025-10-22T10:00:00-07:00"
"ASU-KIM-LAB weekly seminar","at","2025-10-22T11:00:00-07:00/2025-10-22T12:00:00-07:00"
"Design Workshop","at","2025-10-23T10:00:00-07:00/2025-10-23T11:00:00-07:00"
"Dussehra","at","2025-10-23T17:00:00-07:00/2025-10-24T17:00:00-07:00"
"Product Launch Meeting","at","2025-10-24T10:00:00-07:00/2025-10-24T11:00:00-07:00"
"Retrospective Meeting","at","2025-10-25T09:00:00-07:00/2025-10-25T10:00:00-07:00"
"Beach Day with Friends","at","2025-10-26T09:00:00-07:00/2025-10-26T14:00:00-07:00"
"Family Movie Night","at","2025-10-26T19:00:00-07:00/2025-10-26T21:00:00-07:00"
"Team Sync","at","2025-10-28T09:00:00-07:00/2025-10-28T10:00:00-07:00"
"Weekly Meeting (test)","at","2025-10-28T12:00:00-07:00/2025-10-28T13:00:00-07:00"
"Design Review","at","2025-10-29T10:00:00-07:00/2025-10-29T11:00:00-07:00"
"ASU-KIM-LAB weekly seminar","at","2025-10-29T11:00:00-07:00/2025-10-29T12:00:00-07:00"
"Product Demo","at","2025-10-30T10:00:00-07:00/2025-10-30T11:00:00-07:00"
"Halloween","at","2025-10-30T17:00:00-07:00/2025-10-31T17:00:00-07:00"
"Morning Exercise","at","2025-11-01T06:30:00-07:00/2025-11-01T07:00:00-07:00"
"Breakfast","at","2025-11-01T08:00:00-07:00/2025-11-01T08:30:00-07:00"
"Monthly Review Meeting","at","2025-11-01T09:00:00-07:00/2025-11-01T10:00:00-07:00"
"Work Session","at","2025-11-01T09:00:00-07:00/2025-11-01T12:00:00-07:00"
"Lunch Break","at","2025-11-01T12:30:00-07:00/2025-11-01T13:00:00-07:00"
"Daylight Saving Time ends","at","2025-11-01T17:00:00-07:00/2025-11-02T16:00:00-08:00"
"Family Time","at","2025-11-01T19:00:00-07:00/2025-11-01T20:00:00-07:00"
"AI Ethics Lecture","at","2025-11-02T09:00:00-08:00/2025-11-02T10:30:00-08:00"
"Family Dinner","at","2025-11-02T17:00:00-08:00/2025-11-02T19:00:00-08:00"
"Game Night","at","2025-11-02T19:00:00-08:00/2025-11-02T22:00:00-08:00"
"Election Day","at","2025-11-03T16:00:00-08:00/2025-11-04T16:00:00-08:00"
"Client Kickoff Meeting","at","2025-11-04T09:00:00-08:00/2025-11-04T10:00:00-08:00"
"Weekly Meeting (test)","at","2025-11-04T11:00:00-08:00/2025-11-04T12:00:00-08:00"
"Design Workshop","at","2025-11-05T09:00:00-08:00/2025-11-05T11:00:00-08:00"
"ASU-KIM-LAB weekly seminar","at","2025-11-05T10:00:00-08:00/2025-11-05T11:00:00-08:00"
"Client Feedback Session","at","2025-11-06T08:00:00-08:00/2025-11-06T09:00:00-08:00"
"Marketing Strategy Meeting","at","2025-11-07T09:00:00-08:00/2025-11-07T10:00:00-08:00"
"Weekly Sync-Up","at","2025-11-08T08:00:00-08:00/2025-11-08T09:00:00-08:00"
"Hiking Trip","at","2025-11-09T05:00:00-08:00/2025-11-09T11:00:00-08:00"
"Family Outing","at","2025-11-09T09:00:00-08:00/2025-11-09T15:00:00-08:00"
"Quantum Mechanics Workshop","at","2025-11-09T13:00:00-08:00/2025-11-09T15:00:00-08:00"
"Veterans Day","at","2025-11-10T16:00:00-08:00/2025-11-11T16:00:00-08:00"
"Product Demo","at","2025-11-11T09:00:00-08:00/2025-11-11T10:00:00-08:00"
"Weekly Meeting (test)","at","2025-11-11T11:00:00-08:00/2025-11-11T12:00:00-08:00"
"Diwali","at","2025-11-11T16:00:00-08:00/2025-11-12T16:00:00-08:00"
"Design Review","at","2025-11-12T08:00:00-08:00/2025-11-12T09:00:00-08:00"
"ASU-KIM-LAB weekly seminar","at","2025-11-12T10:00:00-08:00/2025-11-12T11:00:00-08:00"
"Team Sync","at","2025-11-13T09:00:00-08:00/2025-11-13T10:00:00-08:00"
"One-on-One Meeting","at","2025-11-14T08:00:00-08:00/2025-11-14T09:00:00-08:00"
"Monthly Review Meeting","at","2025-11-15T08:00:00-08:00/2025-11-15T09:00:00-08:00"
"Big Data Analytics","at","2025-11-15T08:00:00-08:00/2025-11-15T11:00:00-08:00"
"Visit to Aunt's House","at","2025-11-16T13:00:00-08:00/2025-11-16T17:00:00-08:00"
"Dinner with Friends","at","2025-11-16T17:00:00-08:00/2025-11-16T19:00:00-08:00"
"Project Kickoff","at","2025-11-18T09:00:00-08:00/2025-11-18T10:00:00-08:00"
"Weekly Meeting (test)","at","2025-11-18T11:00:00-08:00/2025-11-18T12:00:00-08:00"
"Product Development Meeting","at","2025-11-19T08:00:00-08:00/2025-11-19T09:00:00-08:00"
"ASU-KIM-LAB weekly seminar","at","2025-11-19T10:00:00-08:00/2025-11-19T11:00:00-08:00"
"Client Presentation","at","2025-11-20T09:00:00-08:00/2025-11-20T10:00:00-08:00"
"Inorganic Chemistry Lab","at","2025-11-20T10:00:00-08:00/2025-11-20T12:00:00-08:00"
"Design Review","at","2025-11-21T08:00:00-08:00/2025-11-21T09:00:00-08:00"
"Retrospective Meeting","at","2025-11-22T08:00:00-08:00/2025-11-22T09:00:00-08:00"
"Beach Day with Friends","at","2025-11-23T08:00:00-08:00/2025-11-23T13:00:00-08:00"
"Family Game Night","at","2025-11-23T18:00:00-08:00/2025-11-23T20:00:00-08:00"
"Team Sync","at","2025-11-25T09:00:00-08:00/2025-11-25T10:00:00-08:00"
"World History Lecture","at","2025-11-25T09:30:00-08:00/2025-11-25T11:00:00-08:00"
"Weekly Meeting (test)","at","2025-11-25T11:00:00-08:00/2025-11-25T12:00:00-08:00"
"Design Workshop","at","2025-11-26T08:00:00-08:00/2025-11-26T09:00:00-08:00"
"ASU-KIM-LAB weekly seminar","at","2025-11-26T10:00:00-08:00/2025-11-26T11:00:00-08:00"
"Thanksgiving Day","at","2025-11-26T16:00:00-08:00/2025-11-27T16:00:00-08:00"
"Black Friday","at","2025-11-27T16:00:00-08:00/2025-11-28T16:00:00-08:00"
"Morning Walk","at","2025-12-01T05:30:00-08:00/2025-12-01T06:00:00-08:00"
"Breakfast","at","2025-12-01T07:00:00-08:00/2025-12-01T07:30:00-08:00"
"Work Session","at","2025-12-01T08:00:00-08:00/2025-12-01T11:00:00-08:00"
"Neural Networks Introduction","at","2025-12-01T09:00:00-08:00/2025-12-01T10:30:00-08:00"
"Lunch Break","at","2025-12-01T11:30:00-08:00/2025-12-01T12:00:00-08:00"
"Family Dinner","at","2025-12-01T17:00:00-08:00/2025-12-01T19:00:00-08:00"
"Planning Next Day","at","2025-12-01T18:00:00-08:00/2025-12-01T18:30:00-08:00"
"Game Night","at","2025-12-01T19:00:00-08:00/2025-12-01T22:00:00-08:00"
"Monthly Review Meeting","at","2025-12-02T08:00:00-08:00/2025-12-02T09:00:00-08:00"
"Weekly Meeting (test)","at","2025-12-02T11:00:00-08:00/2025-12-02T12:00:00-08:00"
"Client Kickoff Meeting","at","2025-12-03T09:00:00-08:00/2025-12-03T10:00:00-08:00"
"ASU-KIM-LAB weekly seminar","at","2025-12-03T10:00:00-08:00/2025-12-03T11:00:00-08:00"
"Design Workshop","at","2025-12-04T08:00:00-08:00/2025-12-04T10:00:00-08:00"
"Client Feedback Session","at","2025-12-05T09:00:00-08:00/2025-12-05T10:00:00-08:00"
"Advanced Data Structures","at","2025-12-05T13:00:00-08:00/2025-12-05T15:00:00-08:00"
"Weekly Sync-Up","at","2025-12-06T08:00:00-08:00/2025-12-06T09:00:00-08:00"
"Hiking Trip","at","2025-12-07T05:00:00-08:00/2025-12-07T11:00:00-08:00"
"Family Outing","at","2025-12-07T09:00:00-08:00/2025-12-07T15:00:00-08:00"
"Product Demo","at","2025-12-09T09:00:00-08:00/2025-12-09T10:00:00-08:00"
"Weekly Meeting (test)","at","2025-12-09T11:00:00-08:00/2025-12-09T12:00:00-08:00"
"One-on-One Meeting","at","2025-12-10T08:00:00-08:00/2025-12-10T09:00:00-08:00"
"Cloud Computing Basics","at","2025-12-10T08:00:00-08:00/2025-12-10T11:00:00-08:00"
"ASU-KIM-LAB weekly seminar","at","2025-12-10T10:00:00-08:00/2025-12-10T11:00:00-08:00"
"Design Review","at","2025-12-11T09:00:00-08:00/2025-12-11T10:00:00-08:00"
"Marketing Strategy Meeting","at","2025-12-12T08:00:00-08:00/2025-12-12T09:00:00-08:00"
"Design Workshop","at","2025-12-13T09:00:00-08:00/2025-12-13T10:00:00-08:00"
"Holiday Preparations","at","2025-12-14T13:00:00-08:00/2025-12-14T17:00:00-08:00"
"Dinner with Friends","at","2025-12-14T17:00:00-08:00/2025-12-14T19:00:00-08:00"
"Physical Chemistry","at","2025-12-15T10:00:00-08:00/2025-12-15T12:00:00-08:00"
"Retrospective Meeting","at","2025-12-16T08:00:00-08:00/2025-12-16T09:00:00-08:00"
"Weekly Meeting (test)","at","2025-12-16T11:00:00-08:00/2025-12-16T12:00:00-08:00"
"Team Sync","at","2025-12-17T09:00:00-08:00/2025-12-17T10:00:00-08:00"
"ASU-KIM-LAB weekly seminar","at","2025-12-17T10:00:00-08:00/2025-12-17T11:00:00-08:00"
"Design Review","at","2025-12-18T08:00:00-08:00/2025-12-18T09:00:00-08:00"
"Product Demo","at","2025-12-19T09:00:00-08:00/2025-12-19T10:00:00-08:00"
"Monthly Review Meeting","at","2025-12-20T08:00:00-08:00/2025-12-20T09:00:00-08:00"
"Philosophy of Science","at","2025-12-20T09:30:00-08:00/2025-12-20T11:00:00-08:00"
"Christmas Celebration","at","2025-12-21T17:00:00-08:00/2025-12-21T20:00:00-08:00"
"Holiday Party with Friends","at","2025-12-21T18:00:00-08:00/2025-12-21T21:00:00-08:00"
"Project Kickoff","at","2025-12-23T09:00:00-08:00/2025-12-23T10:00:00-08:00"
"Weekly Meeting (test)","at","2025-12-23T11:00:00-08:00/2025-12-23T12:00:00-08:00"
"Christmas Eve","at","2025-12-23T16:00:00-08:00/2025-12-24T16:00:00-08:00"
"ASU-KIM-LAB weekly seminar","at","2025-12-24T10:00:00-08:00/2025-12-24T11:00:00-08:00"
"Christmas Day","at","2025-12-24T16:00:00-08:00/2025-12-25T16:00:00-08:00"
"Christmas","at","2025-12-24T16:00:00-08:00/2025-12-25T16:00:00-08:00"
"Holiday Party","at","2025-12-24T18:00:00-08:00/2025-12-24T21:00:00-08:00"
"Team Sync","at","2025-12-26T09:00:00-08:00/2025-12-26T10:00:00-08:00"
"Year-End Review","at","2025-12-30T09:00:00-08:00/2025-12-30T10:00:00-08:00"
"Weekly Meeting (test)","at","2025-12-30T11:00:00-08:00/2025-12-30T12:00:00-08:00"
"New Year's Eve","at","2025-12-30T16:00:00-08:00/2025-12-31T16:00:00-08:00"
"ASU-KIM-LAB weekly seminar","at","2025-12-31T10:00:00-08:00/2025-12-31T11:00:00-08:00"
"New Year's Day","at","2025-12-31T16:00:00-08:00/2026-01-01T16:00:00-08:00"
"Weekly Meeting (test)","at","2026-01-06T11:00:00-08:00/2026-01-06T12:00:00-08:00"
"ASU-KIM-LAB weekly seminar","at","2026-01-07T10:00:00-08:00/2026-01-07T11:00:00-08:00"
"Weekly Meeting (test)","at","2026-01-13T11:00:00-08:00/2026-01-13T12:00:00-08:00"
"ASU-KIM-LAB weekly seminar","at","2026-01-14T10:00:00-08:00/2026-01-14T11:00:00-08:00"
"Martin Luther King Jr. Day","at","2026-01-18T16:00:00-08:00/2026-01-19T16:00:00-08:00"
"Weekly Meeting (test)","at","2026-01-20T11:00:00-08:00/2026-01-20T12:00:00-08:00"
"ASU-KIM-LAB weekly seminar","at","2026-01-21T10:00:00-08:00/2026-01-21T11:00:00-08:00"
"Weekly Meeting (test)","at","2026-01-27T11:00:00-08:00/2026-01-27T12:00:00-08:00"
"ASU-KIM-LAB weekly seminar","at","2026-01-28T10:00:00-08:00/2026-01-28T11:00:00-08:00"
"Weekly Meeting (test)","at","2026-02-03T11:00:00-08:00/2026-02-03T12:00:00-08:00"
"ASU-KIM-LAB weekly seminar","at","2026-02-04T10:00:00-08:00/2026-02-04T11:00:00-08:00"
"Weekly Meeting (test)","at","2026-02-10T11:00:00-08:00/2026-02-10T12:00:00-08:00"
"ASU-KIM-LAB weekly seminar","at","2026-02-11T10:00:00-08:00/2026-02-11T11:00:00-08:00"
"Valentine's Day","at","2026-02-13T16:00:00-08:00/2026-02-14T16:00:00-08:00"
"Presidents' Day","at","2026-02-15T16:00:00-08:00/2026-02-16T16:00:00-08:00"
"Weekly Meeting (test)","at","2026-02-17T11:00:00-08:00/2026-02-17T12:00:00-08:00"
"ASU-KIM-LAB weekly seminar","at","2026-02-18T10:00:00-08:00/2026-02-18T11:00:00-08:00"
"Weekly Meeting (test)","at","2026-02-24T11:00:00-08:00/2026-02-24T12:00:00-08:00"
"ASU-KIM-LAB weekly seminar","at","2026-02-25T10:00:00-08:00/2026-02-25T11:00:00-08:00"
"Weekly Meeting (test)","at","2026-03-03T11:00:00-08:00/2026-03-03T12:00:00-08:00"
"ASU-KIM-LAB weekly seminar","at","2026-03-04T10:00:00-08:00/2026-03-04T11:00:00-08:00"
"Daylight Saving Time starts","at","2026-03-07T16:00:00-08:00/2026-03-08T17:00:00-07:00"
"Weekly Meeting (test)","at","2026-03-10T12:00:00-07:00/2026-03-10T13:00:00-07:00"
"ASU-KIM-LAB weekly seminar","at","2026-03-11T11:00:00-07:00/2026-03-11T12:00:00-07:00"
"St. Patrick's Day","at","2026-03-16T17:00:00-07:00/2026-03-17T17:00:00-07:00"
"Weekly Meeting (test)","at","2026-03-17T12:00:00-07:00/2026-03-17T13:00:00-07:00"
"ASU-KIM-LAB weekly seminar","at","2026-03-18T11:00:00-07:00/2026-03-18T12:00:00-07:00"
"Weekly Meeting (test)","at","2026-03-24T12:00:00-07:00/2026-03-24T13:00:00-07:00"
"ASU-KIM-LAB weekly seminar","at","2026-03-25T11:00:00-07:00/2026-03-25T12:00:00-07:00"
"Weekly Meeting (test)","at","2026-03-31T12:00:00-07:00/2026-03-31T13:00:00-07:00"
"ASU-KIM-LAB weekly seminar","at","2026-04-01T11:00:00-07:00/2026-04-01T12:00:00-07:00"
"Easter Sunday","at","2026-04-04T17:00:00-07:00/2026-04-05T17:00:00-07:00"
"Easter Monday","at","2026-04-05T17:00:00-07:00/2026-04-06T17:00:00-07:00"
"Weekly Meeting (test)","at","2026-04-07T12:00:00-07:00/2026-04-07T13:00:00-07:00"
"ASU-KIM-LAB weekly seminar","at","2026-04-08T11:00:00-07:00/2026-04-08T12:00:00-07:00"
"Weekly Meeting (test)","at","2026-04-14T12:00:00-07:00/2026-04-14T13:00:00-07:00"
"Tax Day","at","2026-04-14T17:00:00-07:00/2026-04-15T17:00:00-07:00"
"ASU-KIM-LAB weekly seminar","at","2026-04-15T11:00:00-07:00/2026-04-15T12:00:00-07:00"
"Cinco de Mayo","at","2026-05-04T17:00:00-07:00/2026-05-05T17:00:00-07:00"
"Mother's Day","at","2026-05-09T17:00:00-07:00/2026-05-10T17:00:00-07:00"
"Memorial Day","at","2026-05-24T17:00:00-07:00/2026-05-25T17:00:00-07:00"
"Flag Day","at","2026-06-13T17:00:00-07:00/2026-06-14T17:00:00-07:00"
"Juneteenth","at","2026-06-18T17:00:00-07:00/2026-06-19T17:00:00-07:00"
"Father’s Day","at","2026-06-20T17:00:00-07:00/2026-06-21T17:00:00-07:00"
"Independence Day (substitute)","at","2026-07-02T17:00:00-07:00/2026-07-03T17:00:00-07:00"
"Independence Day","at","2026-07-03T17:00:00-07:00/2026-07-04T17:00:00-07:00"
"User","location","660 S Mill Ave #300, Tempe, AZ 85281, USA"
"User","starts at","2025-09-12 11:16:54"
